equation_allometry,equation_id
10^(1.1891+1.419*(log10(dbh^2))),2060ea
10^(1.2315+1.6376*(log10(dbh^2))),a4d879
exp(7.217+1.514*log(dbh)),c59e03
10^(2.5368+1.3197*(log10(dbh))),96c0af
10^(2.0865+0.9449*(log10(dbh))),529234
exp(-2.48+2.4835*log(dbh)),ae65ed
10^(-1.326+2.762*(log10(dbh))),9c4cc9
2.034*(dbh^2.6349),7913b8
exp(-2.5095+2.5437*log(dbh)),7f7777
exp(5.67+1.97*dbh+1*log(dbh)),cf733d
exp(-2.2118+2.4133*log(dbh)),f08fff
2.0394*(dbh^2.5715),74186d
3.203+(-0.234*dbh)+0.006*(dbh^2),122ba6
10^(1.2784+1.4248*(log10(dbh^2))),e3f3bf
38.111*(dba^2.9),76aa3c
0.1632*(dbh^2.2454),c36a5b
10^(0.8306+2.7308*(log10(dbh^2))),94f593
10^(1.1468+2.363*(log10(dbh^2))),8c94e8
exp(4.97+2.34*dbh+1*log(dbh)),289f7c
exp(1.92+1.86*dbh+1*log(dbh)),b9d4fc
10^(1.1981+1.5876*(log10(dbh))),8aecca
1.5647*(dbh^2.6887),07dba7
2.65743*(dbh^2.43948),cb0353
1.5509*(dbh^2.7276),76df22
2.4601*(dbh^2.4572),839012
2.1457*(dbh^2.503),7640f0
10^(1.3069+1.3593*(log10(dbh^2))),4b8afb
10^(1.00005+2.10621*(log10(dbh))),c70dea
4.13741*(dbh^2)^1.08876,333c34
1.04649*(dbh^2)^1.37539,e9d686
10^(1.3539+2.7308*(log10(dbh^2))),c13e0f
1.4416*(dbh^2.7324),3f99ba
0.004884*(dbh^2.094),76d19b
0.08248*(dbh^2.468),2473f9
exp(-2.047+2.3852*log(dbh)),d6be5c
exp(4.5893+2.43*log(dbh)),7c72ed
exp(-2.0705+2.441*log(dbh)),5edb7f
3.08355*(dbh^2)^1.14915,f3e023
2.3626*(dbh^2.4798),973c05
0.1634*(dbh^2.348),0edaff
1.0259*(dbh^2.7324),34fe5a
51.996*(dba^2.77),28dce6
1.5416*(dbh^2)^2.7818,8da09d
exp(5.2831+2.0369*log(dbh)),21800b
10^(1.83+2.464*(log10(dbh))),6ea81f
2.49193*(dbh^2)^2.7727,d7f1a6
1.8082*(dbh^2.6174),508dfe
2.30252*(dbh^2)^1.6839,81397c
2.23731*(dbh^2)^1.26394,6943b4
37.637*(dba^2.779),a1646f
43.992*(dba^2.86),b61369
10^(1.3539+1.3412*(log10(dbh^2))),2c092b
2.17565*(dbh^2)^1.2481,8eca60
2.04282*(dbh^2)^1.25462,455839
29.615*(dba^3.243),5e2dea
10^(2.1112+2.462*(log10(dbh))),281635
2.76583*(dbh^2)^1.15849,b521bd
1.72982*(dbh^2)^1.27422,6f6bc3
10^(-1.236+2.635*(log10(dbh))),c48e81
2.56795*(dbh^2)^1.18685,e8ebc2
1.57573*(dbh^2)^1.29005,73325b
2.51502*(dbh^2)^1.19256,0a1212
10^(1.2696+1.3889*(log10(dbh^2))),3172f7
10^(-1.266+2.613*(log10(dbh))),524aca
10^(-1.283+2.685*(log10(dbh))),162ce7
2.30252*(dbh^2)^1.25795,0cc678
10^(-1.587+2.91*(log10(dbh))),f21996
exp(4.9967+2.3944*log(dbh)),1d7c4c
2.23*(dbh^2)^1.2153,b40702
exp(-0.34052+2.65803*log(dbh)),23ec05
exp(-2.4441+2.4561*log(dbh)),829bad
4.72+(2.17*dbh),bebe2e
exp(3.8941+2.4839*log(dbh)),b45a32
exp(5.3224+2.2936*log(dbh)),c8c6f1
exp(8.5385+(2.2969*log(dbh)))*645.704*1.05,785080
exp(2.025+3.527*log(dba)),3cb95a
51.68+0.02*BA,c94845
exp(3.67+2.847*log(dba)),6b3b2a
exp(-2.5049+1.256*log(dbh)),7da4c9
exp(3.2304+2.2774*log(dbh)),870336
exp(5.1792+2.0374*log(dbh)),748d94
exp(9.0717+(2.5169*log(dbh)))*419.814*1.22,5a774d
exp(-10.755+2.7308*dbh+1*log(dbh)),5ea2c1
exp(-0.4282+2.1772*dbh+1*log(dbh)),0bdd5e
exp(-2.677+2.4638*log(dbh)),15b165
exp(4.98412+2.18584*log(dbh)),4d8e54
exp(-3.9371+2.8427*log(dbh)),f94e03
exp(3.892+3.122*log(dba)),b95baf
exp(-2.7765+2.4195*log(dbh)),2ee3ae
exp(-2.1001+2.3996*log(dbh)),8470d2
exp(3.6123+2.9944*log(dba)),e8f868
0.0752*(dbh^2.497),1badac
exp(-2.037+2.363*dbh+1*log(dbh)),5084bd
exp(-1.721+2.334*dbh+1*log(dbh)),138258
10^(-0.9+2.52*(log10(dbh))),77e37e
exp(-2.5932+2.534*log(dbh)),5caff8
0.08724*(dbh^2.587),382ee9
exp(-2.474+2.555*log(dbh)),d3f7ed
0.305*(dbh^2.014),01e863
0.0777*(dbh^2.472),bce95d
0.153*(dbh^2.248),1d3182
9.1583+(-0.4291*dbh)+0.005799*(dbh^2),ecd464
10^(-0.685+2.249*(log10(dbh))),687843
exp(-2.972-0.017*dbh+2.873*(log(dbh))),82e78c
0.091*(dbh^2.234),c078ca
exp(6.9159+0.7003*dbh+1*log(dbh)),1d44c6
10^(3.779+2.473*(log10(dbh))),b570d4
0.62+(0.8024*dbh)+0.1724*(dbh^2)+1*(dbh^3),cab5a8
exp(1.0152+1.6839*dbh+1*log(dbh)),6b7404
exp(2.7261+2.3324*log(dbh)),171b02
exp(2.03496+2.1683*log(dbh)),23a23d
exp(3.892752+2.5812*log(dbh)),677eda
exp(2.0791+2.5585*log(dbh)),51f4e4
exp(3.4416+1.9278*log(dbh)),61f888
exp(0.716+2.8796*log(dbh)),2d2a14
exp(3.1689+2.6825*log(dbh)),7afe68
exp(7.2723+1.4835*log(dbh)),678f25
exp(5.13118+2.15046*log(dbh)),b9ebe4
exp(3.769+3.033*log(dba)),b9b3b0
exp(-2.6177+2.4638*log(dbh)),90c207
exp(2.855+2.334*log(dba)),e7bf91
exp(-2.6327+2.4757*log(dbh)),c8f882
exp(3.34884+2.45446*dbh+1*log(dbh)),19bb04
exp(-3463.8+1083.9*log(dbh)),dc04c7
10^(3.68+2.135*(log10(dbh))),e3edf1
exp(3.761+2.37498*log(dba)),12104c
exp(-5.41227+(2.491767*(log(pi*dbh)))),fc521f
exp(-5.644074+(2.5189*(log(pi*dbh)))),f49bcb
exp(-5.308133+(2.4882*(log(pi*dbh)))),7bb5bd
exp(-5.284602+(2.4882*(log(pi*dbh)))),d635f1
exp(-10.8036+2.7727*dbh+1*log(dbh)),7aaa22
exp(4.36982+2.5043*log(dbh)),1b9161
exp(-10.7955+2.759*dbh+1*log(dbh)),f2943e
exp(3.3186+2.6846*log(dba)),014bb7
exp(-11.7031+2.7818*dbh+1*log(dbh)),7992d5
exp(3.5247+2.2043*log(dba)),604854
exp(3.6471+2.532*log(dba)),a1cfac
exp(5.965+1.469*log(dbh)),398df4
exp(5.089+1.883*log(dbh)),3b860c
exp(2.749+2.306*log(dba)),969226
exp(-1.694+10.825*(dbh/(dbh+11.816))),e44bb9
exp(0.006+10.933*(dbh/(dbh+21.216))),7b7468
exp(4.070762+2.4028*log(dba)),b30744
exp(-3.1774+2.6426*log(dbh)),74dd65
0.0104*(dba^2.7105),998abf
(-36.94)+0.42*(DBH^2),9f4b7d
exp(3.03+2.5567*log(dbh)),57488c
exp(3.63+2.54*log(dbh)),4b4063
exp(2.1364+2.3233*log(dbh)),8912e9
1.468+2.582*(log10((DBH-10.603)/0.9823)),da0e89
10^(-1.024+2.416*(log10(dbh))),48557b
10^(-1.234+2.128*(log10(dbh))),697035
10^(-2.336+2.650*(log10(dbh))),9a977b
10^(-2.347+2.478*(log10(dbh))),a59bd5
exp(-0.86896+1.652882*ln(DBH)),ecef00
0.1231*(dba^2.242),aeebe9
10^(0.15+2.48*(log10(DBH))),e2c7c7
NA,89bf40
(-16809)+(2656.48*DBH)+248.416*(DBH^2),686376
10^(2.648+0.715*(log10(dbh))),726f1d
7.06302+(-3.01775*DBH)+*(DBH^2)-0.00329*(DBH^3),a5d599
36.56038+(-10.6275*DBH)+0.93837*(DBH^2)-0.01032*(DBH^3),ae60e9
10^(3.011+1.202*(log10(DBH)-0.01(AGE)+0.011(log10(DBH)*AGE)),2a6b9b
1.51752+(-0.9688*DBH)+0.29833*(DBH^2)+0.00092*(DBH^3),b47d78
10^(2.889+0.789*(log10(DBH)-0.014(AGE)+0.025(log10(DBH)*AGE)),7901c0
(-95.5471)+(21.1602*DBH)-1.04327*(DBH^2)+0.02434*(DBH^3),a5de78
10^(2.481+1.19*(log10(dbh))),390a5a
