Column,Field,Description,Alphanumeric attributes/ storage type (present data values),Variable codes,Units,Range,
1 / A,ref_id,Unique reference identification number to our data source. Links to multiple tables.,numeric,-,-,-,
2 / B,ref_author,All authors in a cited publication,character (string),-,-,-,
3 / C,ref_year,Year of publication,numeric,-,-,-,
4 / D,ref_title,Title of publication,character (string),-,-,-,
5 / E,ref_doi,Publication DOI (Digital object identifier),character (string),-,-,-,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
